deal_id,title,link,timestamp,price,estimated_value,discount
"$85.49:_signature_design_by_ashley_moriville_casual_rustic_upholstered_dining_bench,_grey_&_brown_at","$85.49: Signature Design by Ashley Moriville Casual Rustic Upholstered Dining Bench, Grey & Brown at Amazon",https://slickdeals.net/f/18749524-85-49-signature-design-by-ashley-moriville-casual-rustic-upholstered-dining-bench-grey-brown-at-amazon?utm_source=rss&utm_content=&utm_medium=RSS2,2025-11-12T20:08:00.107780,85.49,245.5,65.18
"$85.49:_signature_design_by_ashley_moriville_casual_rustic_upholstered_dining_bench,_grey_&_brown_at","$85.49: Signature Design by Ashley Moriville Casual Rustic Upholstered Dining Bench, Grey & Brown at Amazon",https://slickdeals.net/f/18749524-85-49-signature-design-by-ashley-moriville-casual-rustic-upholstered-dining-bench-grey-brown-at-amazon?utm_source=rss&utm_content=&utm_medium=RSS2,2025-11-12T20:08:23.051119,85.49,245.5,65.18
"kmc_6-outlet_surge_tap,_2_usb_ports_(3.4a),_980_joules_surge_protector,_white_(2_pack)_$9.49","KMC 6-Outlet Surge Tap, 2 USB Ports (3.4A), 980 Joules Surge Protector, White (2 Pack) $9.49",https://slickdeals.net/f/18797620-kmc-6-outlet-surge-tap-2-usb-ports-3-4a-980-joules-surge-protector-white-2-pack-9-49?utm_source=rss&utm_content=&utm_medium=RSS2,2025-11-12T20:08:03.944685,9.49,239.05,96.03
"kmc_6-outlet_surge_tap,_2_usb_ports_(3.4a),_980_joules_surge_protector,_white_(2_pack)_$9.49","KMC 6-Outlet Surge Tap, 2 USB Ports (3.4A), 980 Joules Surge Protector, White (2 Pack) $9.49",https://slickdeals.net/f/18797620-kmc-6-outlet-surge-tap-2-usb-ports-3-4a-980-joules-surge-protector-white-2-pack-9-49?utm_source=rss&utm_content=&utm_medium=RSS2,2025-11-12T20:08:25.283607,9.49,239.05,96.03
"powerspec_g759_gaming_pc:_ryzen_7_9800x3d,_rtx_5080,_64gb_ddr5,_2tb_ssd_$2299.99","PowerSpec G759 Gaming PC: Ryzen 7 9800X3D, RTX 5080, 64GB DDR5, 2TB SSD $2299.99",https://slickdeals.net/f/18793591-powerspec-g759-gaming-pc-ryzen-7-9800x3d-rtx-5080-64gb-ddr5-2tb-ssd-2299-99?utm_source=rss&utm_content=&utm_medium=RSS2,2025-11-12T20:08:06.714278,2299.99,264.65,-769.07
"powerspec_g759_gaming_pc:_ryzen_7_9800x3d,_rtx_5080,_64gb_ddr5,_2tb_ssd_$2299.99","PowerSpec G759 Gaming PC: Ryzen 7 9800X3D, RTX 5080, 64GB DDR5, 2TB SSD $2299.99",https://slickdeals.net/f/18793591-powerspec-g759-gaming-pc-ryzen-7-9800x3d-rtx-5080-64gb-ddr5-2tb-ssd-2299-99?utm_source=rss&utm_content=&utm_medium=RSS2,2025-11-12T20:08:27.366911,2299.99,264.65,-769.07
amazon_essentials_women's_short_sleeve_jersey_cotton_blend_plus_size_v-neck_t-shirt_(various)_from_$,Amazon Essentials Women's Short Sleeve Jersey Cotton Blend Plus Size V-Neck T-Shirt (Various) from $4.74 + Free Shipping w/ Prime or on $35+,https://slickdeals.net/f/18797617-amazon-essentials-women-s-short-sleeve-jersey-cotton-blend-plus-size-v-neck-t-shirt-various-from-4-74-5-53-free-shipping-w-prime-or-on-35?utm_source=rss&utm_content=&utm_medium=RSS2,2025-11-12T20:08:10.162250,4.74,228.4,97.92
amazon_essentials_women's_short_sleeve_jersey_cotton_blend_plus_size_v-neck_t-shirt_(various)_from_$,Amazon Essentials Women's Short Sleeve Jersey Cotton Blend Plus Size V-Neck T-Shirt (Various) from $4.74 + Free Shipping w/ Prime or on $35+,https://slickdeals.net/f/18797617-amazon-essentials-women-s-short-sleeve-jersey-cotton-blend-plus-size-v-neck-t-shirt-various-from-4-74-5-53-free-shipping-w-prime-or-on-35?utm_source=rss&utm_content=&utm_medium=RSS2,2025-11-12T20:08:29.516986,4.74,242.4,98.04
tron_(1982)_&_tron_legacy_4k_steelbooks_-_free_shipping_-_walmart_$39.99,Tron (1982) & Tron Legacy 4K Steelbooks - Free shipping - Walmart $39.99,https://slickdeals.net/f/18796660-tron-1982-tron-legacy-4k-steelbooks-free-shipping-walmart-39-99?utm_source=rss&utm_content=&utm_medium=RSS2,2025-11-12T20:08:12.923620,39.99,243.35,83.57
tron_(1982)_&_tron_legacy_4k_steelbooks_-_free_shipping_-_walmart_$39.99,Tron (1982) & Tron Legacy 4K Steelbooks - Free shipping - Walmart $39.99,https://slickdeals.net/f/18796660-tron-1982-tron-legacy-4k-steelbooks-free-shipping-walmart-39-99?utm_source=rss&utm_content=&utm_medium=RSS2,2025-11-12T20:08:31.720413,39.99,243.35,83.57
tecknet_75%_82-key_rbg_backlit_wired_gaming_keyboard_$17_@_amazon,Tecknet 75% 82-Key RBG Backlit Wired Gaming Keyboard $17 @ Amazon,https://slickdeals.net/f/18710005-tecknet-75-82-key-rbg-backlit-wired-gaming-keyboard-17-amazon?utm_source=rss&utm_content=&utm_medium=RSS2,2025-11-12T20:11:10.485866,17.0,191.9,91.14
"8.5""_inseam_hello_kitty_men's_graphic_jogger_shorts_$7.66_+_free_s&h_w/_walmart+_or_on_$35+","8.5"" Inseam Hello Kitty Men's Graphic Jogger Shorts $7.66 + Free S&H w/ Walmart+ or on $35+",https://slickdeals.net/f/18797281-8-5-inseam-hello-kitty-men-s-graphic-jogger-shorts-7-66-free-s-h-w-walmart-or-on-35?utm_source=rss&utm_content=&utm_medium=RSS2,2025-11-12T20:11:12.718176,7.66,213.05,96.4
"ben's_original_ready_rice_jasmine_rice,_easy_dinner_side,_8.5_oz_pouch_(pack_of_6)~$5.53_with_s&s_@_","BEN'S ORIGINAL Ready Rice Jasmine Rice, Easy Dinner Side, 8.5 OZ Pouch (Pack of 6)~$5.53 With S&S @ Amazon",https://slickdeals.net/f/18793000-ben-s-original-ready-rice-jasmine-rice-easy-dinner-side-8-5-oz-pouch-pack-of-6-5-53-with-s-s-amazon?utm_source=rss&utm_content=&utm_medium=RSS2,2025-11-12T20:11:15.299846,5.53,263.95,97.9
kingdom_come:_deliverance:_saga_bundle_(xbox_one/series_x|s_or_ps4/ps5_(w/_ps+)_digital_download)_$5,Kingdom Come: Deliverance: Saga Bundle (Xbox One/Series X|S or PS4/PS5 (w/ PS+) Digital Download) $54.99 via Xbox/Microsoft or PlayStation Store,https://slickdeals.net/f/18797287-kingdom-come-deliverance-saga-bundle-xbox-one-series-x-s-or-ps4-ps5-w-ps-digital-download-54-99-via-xbox-microsoft-or-playstation-store?utm_source=rss&utm_content=&utm_medium=RSS2,2025-11-12T20:11:17.437592,54.99,243.2,77.39
sony_playstation_store_$100_gift_card_(email_delivery)_$90,Sony PlayStation Store $100 Gift Card (Email Delivery) $90,https://slickdeals.net/f/18792577-sony-playstation-store-100-gift-card-email-delivery-90?utm_source=rss&utm_content=&utm_medium=RSS2,2025-11-12T20:11:19.723813,100.0,235.0,57.45
4-pack_clearspace_heavy_duty_moving_storage_bags_w/_zippers_&_handles_(blue)_$11.98_($2.99_each)_+_f,4-Pack ClearSpace Heavy Duty Moving Storage Bags w/ Zippers & Handles (Blue) $11.98 ($2.99 each) + Free Shipping w/ Prime or on $35+,https://slickdeals.net/f/18794164-4-pack-clearspace-heavy-duty-moving-storage-bags-w-zippers-handles-blue-11-98-2-99-each-free-shipping-w-prime-or-on-35?utm_source=rss&utm_content=&utm_medium=RSS2,2025-11-12T20:28:36.960851,11.98,242.1,95.05
aovopro_tmax_10inch_electric_scooter_500w_22mph_adult_app_smart_scooter_shock-absorbing_anti-skid_fo,AOVOPRO TMAX 10inch Electric Scooter 500W 22MPH Adult APP Smart Scooter Shock-absorbing Anti-skid Folding Electric Scooter for $172.15 with code - AEG30A,https://slickdeals.net/f/18795412-aovopro-tmax-10inch-electric-scooter-500w-22mph-adult-app-smart-scooter-shock-absorbing-anti-skid-folding-electric-scooter-for-172-15-with-code-aeg30a?utm_source=rss&utm_content=&utm_medium=RSS2,2025-11-12T20:28:39.235985,172.15,222.75,22.72
safeway_u_members_offering_3_months_free_uber_one,Safeway U members offering 3 months free Uber One,https://slickdeals.net/f/18797680-safeway-u-members-offering-3-months-free-uber-one?utm_source=rss&utm_content=&utm_medium=RSS2,2025-11-12T20:28:41.449135,23.86,244.25,90.23
5-lbs_hershey's_nuggets_special_dark_chocolate_with_almonds_(individually_wrapped)_$20_+_free_s/h,5-Lbs Hershey's Nuggets Special Dark Chocolate With Almonds (Individually Wrapped) $20 + free s/h,https://slickdeals.net/f/18790555-5-lbs-hershey-s-nuggets-special-dark-chocolate-with-almonds-individually-wrapped-20-free-s-h?utm_source=rss&utm_content=&utm_medium=RSS2,2025-11-12T20:28:43.803790,20.0,211.75,90.55
5-lbs_hershey's_nuggets_special_dark_chocolate_with_almonds_(individually_wrapped)_$20_+_free_s/h,5-Lbs Hershey's Nuggets Special Dark Chocolate With Almonds (Individually Wrapped) $20 + free s/h,https://slickdeals.net/f/18790555-5-lbs-hershey-s-nuggets-special-dark-chocolate-with-almonds-individually-wrapped-20-free-s-h?utm_source=rss&utm_content=&utm_medium=RSS2,2025-11-12T20:34:48.606241,20.0,211.75,90.55
"workpro_48""x20""_garage_workbench,1200_lbs_load_capacity_at_walmart_$106","WORKPRO 48""x20"" Garage Workbench,1200 LBS Load Capacity at Walmart $106",https://slickdeals.net/f/18794752-workpro-48-x20-garage-workbench-1200-lbs-load-capacity-at-walmart-106?utm_source=rss&utm_content=&utm_medium=RSS2,2025-11-12T20:28:45.999282,106.0,267.85,60.43
"[s&s,_ac]_$19.92:_16_×_18.8-oz_campbell's_chunky_soup_(beef_with_country_vegetables)_($1.25_each)_at","[S&S, AC] $19.92: 16 × 18.8-Oz Campbell's Chunky Soup (Beef with Country Vegetables) ($1.25 each) at Amazon",https://slickdeals.net/f/18787819-s-s-ac-19-92-16-18-8-oz-campbell-s-chunky-soup-beef-with-country-vegetables-1-25-each-at-amazon?utm_source=rss&utm_content=&utm_medium=RSS2,2025-11-12T20:34:41.973073,19.92,268.15,92.57
sports_research_supplements:_60-count__d3_5000iu_w/_100mcg_vitamin_k2_vegan_softgels_$7.17_w/_s&s_&_,Sports Research Supplements: 60-Count  D3 5000IU w/ 100mcg Vitamin K2 Vegan Softgels $7.17 w/ S&S & More + Free Shipping w/ Prime or on $35+,https://slickdeals.net/f/18792289-sports-research-supplements-60-count-d3-5000iu-w-100mcg-vitamin-k2-vegan-softgels-7-17-w-s-s-more-free-shipping-w-prime-or-on-35?utm_source=rss&utm_content=&utm_medium=RSS2,2025-11-12T20:34:44.192001,7.17,230.25,96.89
"seagate_barracuda_st24000dm001_24tb_7200_rpm_512mb_cache_sata_6.0gb/s_3.5""_internal_hard_drive_bare_","Seagate BarraCuda ST24000DM001 24TB 7200 RPM 512MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive $249.99",https://slickdeals.net/f/18794116-seagate-barracuda-st24000dm001-24tb-7200-rpm-512mb-cache-sata-6-0gb-s-3-5-internal-hard-drive-bare-drive-249-99?utm_source=rss&utm_content=&utm_medium=RSS2,2025-11-12T20:34:46.415842,249.99,208.85,-19.7
more_appletv_anime_complete_series_sale_$4.99,More AppleTV Anime Complete Series Sale $4.99,https://slickdeals.net/f/18792190-more-appletv-anime-complete-series-sale-4-99?utm_source=rss&utm_content=&utm_medium=RSS2,2025-11-12T20:34:50.956809,4.99,212.35,97.65
more_appletv_anime_complete_series_sale_$4.99,More AppleTV Anime Complete Series Sale $4.99,https://slickdeals.net/f/18792190-more-appletv-anime-complete-series-sale-4-99?utm_source=rss&utm_content=&utm_medium=RSS2,2025-11-12T21:08:10.520330,4.99,212.35,97.65
